blancoNegro,1.5103050736853554,0.0,203.57924810749745,1.452958024691358
cameraman,1.04779046673287,0.0,203.57924810749745,2.705224691358025
church1,1.0580472062778916,0.0,216.8698353001397,2.790863888888889
circuit,1.0625878145357006,0.0,203.55886895212586,2.796737318409145
coins,1.226470490477404,0.0,205.21616136350062,2.4460433604336043
eevee,2.5010777220359492,0.0,212.5224087343418,1.1993046107331822
lena,1.0557793548762398,0.0,203.3840513617143,2.841404958677686
lenaG,1.0350907840398973,0.0,211.95263797811307,2.87783108302212
lenaS,1.0638649295324067,0.0,212.08412208899074,2.7268478260869564
niño,1.0458398812012515,0.0,203.55886895212586,2.7530761292371198
reno.,1.499401990728385,0.0,203.57924810749745,1.9984
sample1,1.1447713419824974,0.0,203.54479719947307,1.1694176207068192
sample2,1.1900165471594042,0.0,205.38920994558532,1.3691927083333333
woman,1.043668302338048,0.0,203.57924810749745,2.8741925925925926
